;Weighted;Overall;V_measure;Rand;F1;Type;Amount_senses;Cluster_Estimation
Avocat;0.7853896103896103;0.8433734939759037;0.3540920460330969;0.4502899498490074;0.8343001902119473;Noun;2;0
Bien;0.3333333333333333;0.5;0.0;0.0;0.3333333333333333;Noun;3;-2
Bureau;0.3271604938271605;0.5145631067961165;0.012242611046836462;-0.0076331121288593946;0.35623599701269604;Noun;3;-1
Faculté;0.4240669240669241;0.5;0.038962981213239004;0.021739474016942723;0.4459433601224646;Noun;3;-1
Filer;0.3333333333333333;0.4895833333333333;0.0;0.0;0.3218240093240093;Verb;3;-2
Glace;0.2;0.4796747967479675;0.0;0.0;0.3109979451442866;Noun;5;-4
Souris;0.3333333333333333;0.45588235294117646;0.0;0.0;0.2855020796197267;Noun;3;-2
Supporter;0.3333333333333333;0.509090909090909;0.0;0.0;0.34348302300109523;Verb;3;-2
Tirer;0.42477477477477477;0.5480769230769231;0.023995155607357332;-0.04739645912016713;0.5349193290369761;Verb;2;0
Tour;0.21333333333333332;0.3424657534246575;0.027527032463515413;0.001826782817335351;0.19006849315068491;Noun;5;-3
Vol;0.54;0.7294117647058823;0.08220884509532596;0.06583945302608256;0.6359218123924008;Noun;2;0
Average_nouns;0.39457712853546184;0.545671408573963;0.06437918948150172;0.06650781844756358;0.42403790137344255;;;
Average_verbs;0.3638138138138138;0.5155837218337218;0.007998385202452444;-0.015798819706722377;0.40007545378736015;;;
Global_average;0.386187133611376;0.5374656758266245;0.04900260649630646;0.044060553496394685;0.4175026883954201;;;
